date,state,orgs,category,type,species,age,count
2016,AR,40,other outcomes,shelter euthanasia,cats,unknown,19
2016,AR,40,other outcomes,owner-intended euthanasia,cats,adult,5
2016,AR,40,other outcomes,owner-intended euthanasia,cats,up to 5mo,0
2016,AR,40,other outcomes,owner-intended euthanasia,cats,unknown,3
2016,AZ,103,gross intakes,stray/at large,dogs,adult,36158
2016,AZ,103,gross intakes,stray/at large,dogs,up to 5mo,6052
2016,AZ,103,gross intakes,stray/at large,dogs,unknown,3386
2016,AZ,103,gross intakes,relinquished by owner,dogs,adult,14859
2016,AZ,103,gross intakes,relinquished by owner,dogs,up to 5mo,4231
2016,AZ,103,gross intakes,relinquished by owner,dogs,unknown,1774
2016,AZ,103,gross intakes,transfer in from agency,dogs,adult,7782
2016,AZ,103,gross intakes,transfer in from agency,dogs,up to 5mo,3233
2016,AZ,103,gross intakes,transfer in from agency,dogs,unknown,1244
2016,AZ,103,gross intakes,other intakes,dogs,adult,4674
2016,AZ,103,gross intakes,other intakes,dogs,up to 5mo,964
2016,AZ,103,gross intakes,other intakes,dogs,unknown,370
2016,AZ,103,gross intakes,owner-intended euthanasia,dogs,adult,3963
2016,AZ,103,gross intakes,owner-intended euthanasia,dogs,up to 5mo,199
2016,AZ,103,gross intakes,owner-intended euthanasia,dogs,unknown,421
2016,AZ,103,gross intakes,stray/at large,cats,adult,6038
2016,AZ,103,gross intakes,stray/at large,cats,up to 5mo,8344
2016,AZ,103,gross intakes,stray/at large,cats,unknown,3664
2016,AZ,103,gross intakes,relinquished by owner,cats,adult,8115
2016,AZ,103,gross intakes,relinquished by owner,cats,up to 5mo,4926
2016,AZ,103,gross intakes,relinquished by owner,cats,unknown,817
2016,AZ,103,gross intakes,transfer in from agency,cats,adult,2071
2016,AZ,103,gross intakes,transfer in from agency,cats,up to 5mo,2636
2016,AZ,103,gross intakes,transfer in from agency,cats,unknown,431
2016,AZ,103,gross intakes,other intakes,cats,adult,1183
2016,AZ,103,gross intakes,other intakes,cats,up to 5mo,829
2016,AZ,103,gross intakes,other intakes,cats,unknown,414
2016,AZ,103,gross intakes,owner-intended euthanasia,cats,adult,1065
2016,AZ,103,gross intakes,owner-intended euthanasia,cats,up to 5mo,37
2016,AZ,103,gross intakes,owner-intended euthanasia,cats,unknown,147
2016,AZ,103,gross live outcomes,adoption,dogs,adult,36286
2016,AZ,103,gross live outcomes,adoption,dogs,up to 5mo,9824
2016,AZ,103,gross live outcomes,adoption,dogs,unknown,3301
2016,AZ,103,gross live outcomes,return to owner,dogs,adult,10317
2016,AZ,103,gross live outcomes,return to owner,dogs,up to 5mo,379
2016,AZ,103,gross live outcomes,return to owner,dogs,unknown,1127
2016,AZ,103,gross live outcomes,transfer to another agency,dogs,adult,10449
2016,AZ,103,gross live outcomes,transfer to another agency,dogs,up to 5mo,2716
2016,AZ,103,gross live outcomes,transfer to another agency,dogs,unknown,1021
2016,AZ,103,gross live outcomes,return to field,dogs,adult,5
2016,AZ,103,gross live outcomes,return to field,dogs,up to 5mo,0
2016,AZ,103,gross live outcomes,return to field,dogs,unknown,0
2016,AZ,103,gross live outcomes,other live outcome,dogs,adult,22
2016,AZ,103,gross live outcomes,other live outcome,dogs,up to 5mo,4
2016,AZ,103,gross live outcomes,other live outcome,dogs,unknown,2
2016,AZ,103,gross live outcomes,adoption,cats,adult,11335
2016,AZ,103,gross live outcomes,adoption,cats,up to 5mo,11319
2016,AZ,103,gross live outcomes,adoption,cats,unknown,1498
2016,AZ,103,gross live outcomes,return to owner,cats,adult,461
2016,AZ,103,gross live outcomes,return to owner,cats,up to 5mo,63
2016,AZ,103,gross live outcomes,return to owner,cats,unknown,121
2016,AZ,103,gross live outcomes,transfer to another agency,cats,adult,2954
2016,AZ,103,gross live outcomes,transfer to another agency,cats,up to 5mo,1975
2016,AZ,103,gross live outcomes,transfer to another agency,cats,unknown,868
2016,AZ,103,gross live outcomes,return to field,cats,adult,868
2016,AZ,103,gross live outcomes,return to field,cats,up to 5mo,232
2016,AZ,103,gross live outcomes,return to field,cats,unknown,11
2016,AZ,103,gross live outcomes,other live outcome,cats,adult,469
2016,AZ,103,gross live outcomes,other live outcome,cats,up to 5mo,205
2016,AZ,103,gross live outcomes,other live outcome,cats,unknown,3
2016,AZ,103,other outcomes,died in care,dogs,adult,472
2016,AZ,103,other outcomes,died in care,dogs,up to 5mo,414
2016,AZ,103,other outcomes,died in care,dogs,unknown,47
2016,AZ,103,other outcomes,lost in care,dogs,adult,55
2016,AZ,103,other outcomes,lost in care,dogs,up to 5mo,8
2016,AZ,103,other outcomes,lost in care,dogs,unknown,7
2016,AZ,103,other outcomes,shelter euthanasia,dogs,adult,7135
2016,AZ,103,other outcomes,shelter euthanasia,dogs,up to 5mo,737
2016,AZ,103,other outcomes,shelter euthanasia,dogs,unknown,483
2016,AZ,103,other outcomes,owner-intended euthanasia,dogs,adult,2791
2016,AZ,103,other outcomes,owner-intended euthanasia,dogs,up to 5mo,114
2016,AZ,103,other outcomes,owner-intended euthanasia,dogs,unknown,419
2016,AZ,103,other outcomes,died in care,cats,adult,198
2016,AZ,103,other outcomes,died in care,cats,up to 5mo,871
2016,AZ,103,other outcomes,died in care,cats,unknown,219
2016,AZ,103,other outcomes,lost in care,cats,adult,20
2016,AZ,103,other outcomes,lost in care,cats,up to 5mo,15
2016,AZ,103,other outcomes,lost in care,cats,unknown,0
2016,AZ,103,other outcomes,shelter euthanasia,cats,adult,2376
2016,AZ,103,other outcomes,shelter euthanasia,cats,up to 5mo,1284
2016,AZ,103,other outcomes,shelter euthanasia,cats,unknown,2077
2016,AZ,103,other outcomes,owner-intended euthanasia,cats,adult,895
2016,AZ,103,other outcomes,owner-intended euthanasia,cats,up to 5mo,53
2016,AZ,103,other outcomes,owner-intended euthanasia,cats,unknown,148
2016,CA,432,gross intakes,stray/at large,dogs,adult,92415
2016,CA,432,gross intakes,stray/at large,dogs,up to 5mo,16481
2016,CA,432,gross intakes,stray/at large,dogs,unknown,20415
2016,CA,432,gross intakes,relinquished by owner,dogs,adult,28763
2016,CA,432,gross intakes,relinquished by owner,dogs,up to 5mo,5570
2016,CA,432,gross intakes,relinquished by owner,dogs,unknown,4614
2016,CA,432,gross intakes,transfer in from agency,dogs,adult,18919
2016,CA,432,gross intakes,transfer in from agency,dogs,up to 5mo,7616
2016,CA,432,gross intakes,transfer in from agency,dogs,unknown,2865
2016,CA,432,gross intakes,other intakes,dogs,adult,8856
2016,CA,432,gross intakes,other intakes,dogs,up to 5mo,2132
2016,CA,432,gross intakes,other intakes,dogs,unknown,1506
2016,CA,432,gross intakes,owner-intended euthanasia,dogs,adult,8093
2016,CA,432,gross intakes,owner-intended euthanasia,dogs,up to 5mo,166
2016,CA,432,gross intakes,owner-intended euthanasia,dogs,unknown,2165
2016,CA,432,gross intakes,stray/at large,cats,adult,44935
2016,CA,432,gross intakes,stray/at large,cats,up to 5mo,67650
2016,CA,432,gross intakes,stray/at large,cats,unknown,24001
2016,CA,432,gross intakes,relinquished by owner,cats,adult,14272
2016,CA,432,gross intakes,relinquished by owner,cats,up to 5mo,8603
2016,CA,432,gross intakes,relinquished by owner,cats,unknown,2999
2016,CA,432,gross intakes,transfer in from agency,cats,adult,7800
2016,CA,432,gross intakes,transfer in from agency,cats,up to 5mo,14194
2016,CA,432,gross intakes,transfer in from agency,cats,unknown,2055
2016,CA,432,gross intakes,other intakes,cats,adult,2247
2016,CA,432,gross intakes,other intakes,cats,up to 5mo,1870
2016,CA,432,gross intakes,other intakes,cats,unknown,1196
2016,CA,432,gross intakes,owner-intended euthanasia,cats,adult,3063
2016,CA,432,gross intakes,owner-intended euthanasia,cats,up to 5mo,96
2016,CA,432,gross intakes,owner-intended euthanasia,cats,unknown,776
2016,CA,432,gross live outcomes,adoption,dogs,adult,76398
2016,CA,432,gross live outcomes,adoption,dogs,up to 5mo,20906
2016,CA,432,gross live outcomes,adoption,dogs,unknown,9602
2016,CA,432,gross live outcomes,return to owner,dogs,adult,35792
2016,CA,432,gross live outcomes,return to owner,dogs,up to 5mo,1152
2016,CA,432,gross live outcomes,return to owner,dogs,unknown,6788
2016,CA,432,gross live outcomes,transfer to another agency,dogs,adult,20055
2016,CA,432,gross live outcomes,transfer to another agency,dogs,up to 5mo,6939
2016,CA,432,gross live outcomes,transfer to another agency,dogs,unknown,7285
2016,CA,432,gross live outcomes,return to field,dogs,adult,297
2016,CA,432,gross live outcomes,return to field,dogs,up to 5mo,20
2016,CA,432,gross live outcomes,return to field,dogs,unknown,2
2016,CA,432,gross live outcomes,other live outcome,dogs,adult,733
2016,CA,432,gross live outcomes,other live outcome,dogs,up to 5mo,204
2016,CA,432,gross live outcomes,other live outcome,dogs,unknown,111
2016,CA,432,gross live outcomes,adoption,cats,adult,33138
2016,CA,432,gross live outcomes,adoption,cats,up to 5mo,52097
2016,CA,432,gross live outcomes,adoption,cats,unknown,10834
2016,CA,432,gross live outcomes,return to owner,cats,adult,3045
2016,CA,432,gross live outcomes,return to owner,cats,up to 5mo,574
2016,CA,432,gross live outcomes,return to owner,cats,unknown,637
2016,CA,432,gross live outcomes,transfer to another agency,cats,adult,7481
2016,CA,432,gross live outcomes,transfer to another agency,cats,up to 5mo,13865
2016,CA,432,gross live outcomes,transfer to another agency,cats,unknown,4967
2016,CA,432,gross live outcomes,return to field,cats,adult,11304
2016,CA,432,gross live outcomes,return to field,cats,up to 5mo,1432
2016,CA,432,gross live outcomes,return to field,cats,unknown,1483
2016,CA,432,gross live outcomes,other live outcome,cats,adult,760
2016,CA,432,gross live outcomes,other live outcome,cats,up to 5mo,1304
2016,CA,432,gross live outcomes,other live outcome,cats,unknown,639
2016,CA,432,other outcomes,died in care,dogs,adult,737
2016,CA,432,other outcomes,died in care,dogs,up to 5mo,502
2016,CA,432,other outcomes,died in care,dogs,unknown,256
2016,CA,432,other outcomes,lost in care,dogs,adult,242
2016,CA,432,other outcomes,lost in care,dogs,up to 5mo,47
2016,CA,432,other outcomes,lost in care,dogs,unknown,307
2016,CA,432,other outcomes,shelter euthanasia,dogs,adult,16121
2016,CA,432,other outcomes,shelter euthanasia,dogs,up to 5mo,1301
2016,CA,432,other outcomes,shelter euthanasia,dogs,unknown,4202
2016,CA,432,other outcomes,owner-intended euthanasia,dogs,adult,7770
2016,CA,432,other outcomes,owner-intended euthanasia,dogs,up to 5mo,345
2016,CA,432,other outcomes,owner-intended euthanasia,dogs,unknown,2143
2016,CA,432,other outcomes,died in care,cats,adult,944
2016,CA,432,other outcomes,died in care,cats,up to 5mo,2801
2016,CA,432,other outcomes,died in care,cats,unknown,885
2016,CA,432,other outcomes,lost in care,cats,adult,240
2016,CA,432,other outcomes,lost in care,cats,up to 5mo,106
2016,CA,432,other outcomes,lost in care,cats,unknown,270
2016,CA,432,other outcomes,shelter euthanasia,cats,adult,15652
2016,CA,432,other outcomes,shelter euthanasia,cats,up to 5mo,17745
2016,CA,432,other outcomes,shelter euthanasia,cats,unknown,8576
2016,CA,432,other outcomes,owner-intended euthanasia,cats,adult,3078
2016,CA,432,other outcomes,owner-intended euthanasia,cats,up to 5mo,666
2016,CA,432,other outcomes,owner-intended euthanasia,cats,unknown,1112
2016,CO,80,gross intakes,stray/at large,dogs,adult,22349
2016,CO,80,gross intakes,stray/at large,dogs,up to 5mo,1976
2016,CO,80,gross intakes,stray/at large,dogs,unknown,1653
2016,CO,80,gross intakes,relinquished by owner,dogs,adult,10704
2016,CO,80,gross intakes,relinquished by owner,dogs,up to 5mo,1465
2016,CO,80,gross intakes,relinquished by owner,dogs,unknown,184
2016,CO,80,gross intakes,transfer in from agency,dogs,adult,11154
2016,CO,80,gross intakes,transfer in from agency,dogs,up to 5mo,7863
2016,CO,80,gross intakes,transfer in from agency,dogs,unknown,52
2016,CO,80,gross intakes,other intakes,dogs,adult,3795
2016,CO,80,gross intakes,other intakes,dogs,up to 5mo,574
2016,CO,80,gross intakes,other intakes,dogs,unknown,169
2016,CO,80,gross intakes,owner-intended euthanasia,dogs,adult,3450
